Client ID,FIRST NAME,LAST NAME,PHONE NUMBER,MESSAGE,isRideRequest,MESSAGE FORWARDED TO NAME AND DATE,DATE OF RIDE,ROUND TRIP OR ONE WAY,PURPOSE OF TRIP,APPOINTMENT TIME,PICK UP TIME,ESTIMATED LENGTH OF APPOINTMENT,WHEELCHAIR,NAME OF DESTINATION/PRACTICE/BUILDING,DESTINATION STREET ADDRESS,DESTINATION ADDRESS 2,CITY,COMMENTS ABOUT RIDE,RIDE CONFIRMED WITH CLIENT,24 HOUR RE-CONFIRMATION WITH CLIENT
103,David,Johnson,472-1243,ride request,TRUE,,9/27/2025,Round Trip,medical,1:00 AM,12:40 AM,30 min,N,RGH medical center,59 Todd Ln,,Penfield,,Y,N
101,Irene,Gutiérrez,719-350-3773,ride request,TRUE,,9/29/2025,Round Trip,medical,9:30 AM,9:00 AM,1 hr,N,dentist,408 Johnsarbor Dr W,,Rochester,,N,N
10,Joanne,Hernández,316-1726,ride request,TRUE,,9/26/2025,Round Trip,medical,10:15 AM,9:50 AM,30 min,N,RGH medical center,136 Summer Glen Dr,,Penfield,,Y,N
160,Linda,Riley,276-2274,ride request,TRUE,,9/15/2025,Round Trip,medical,2:30 AM,2:10 AM,20 min,N,RGH medical center,56 Bay Ln,,Rochester,,Y,N
91,Paulette,Valencia,675-788-4150,ride request,TRUE,,9/29/2025,Round Trip,medical,11:45 AM,11:25 AM,30 min,N,dentist,65 Snowberry Cir,suite 433,Penfield,,Y,N
30,Lillie,McKay,454-3797,Cancelled Drive,FALSE,MGarcia 09/09/2025,9/24/2025,Round Trip,medical,2:30 AM,2:00 AM,45 min,N,URMC medical center,87 Datewood Dr,,Penfield,,Y,N
108,Sharon,Bryant,421-7830,ride request,TRUE,,9/16/2025,Round Trip,medical,9:45 AM,9:20 AM,1 hr,N,podiatry,52 Sanders Farm Dr,,Penfield,,N,N
103,David,Johnson,472-1243,ride request,TRUE,,9/27/2025,Round Trip,medical,10:45 AM,10:25 AM,1 hr,N,doctor's office,92 Astor Dr,,Rochester,,Y,Y
124,Helen,Haynes,476-802-3162,ride request,TRUE,,9/21/2025,Round Trip,medical,11:15 AM,11:00 AM,1.5 hr,N,dentist,321 Adderly Cir,,Rochester,,N,N
183,Marsha,Chavez,318-2969,ride request,TRUE,,9/25/2025,Round Trip,medical,1:30 AM,1:10 AM,1.5 hr,N,dentist,1544 Penshire Cir,,Penfield,,Y,N
30,Lillie,McKay,454-3797,ride request,TRUE,,9/21/2025,Round Trip,medical,1:30 AM,1:10 AM,20 min,N,RGH medical center,593 Meridian Centre Blvd,,Rochester,,Y,N
170,Diana,Williams,753-8711,hasn't hear from driver,FALSE,JDuncan 09/09/2025,9/29/2025,Round Trip,medical,11:30 AM,11:05 AM,30 min,N,URMC medical center,95 Maple Hill Farm Rd,,Penfield,,Y,Y
151,Herbert,Green,315-8719,ride request,TRUE,,9/15/2025,Round Trip,rec center,10:15 AM,9:55 AM,1 hr,N,class,189 Landon Pkwy,,Rochester,,Y,N
147,Gloria,Shaffer,502-4423,ride request,TRUE,,9/21/2025,Round Trip,medical,10:00 AM,9:40 AM,45 min,N,RGH medical center,61 Walden Pl,,Rochester,,Y,N
