FIRST NAME,LAST NAME,STREET ADDRESS,ADDRESS 2,ZIP ,CITY,STATE,TYPE OF RESIDENCE,EMAIL ADDRESS,PRIMARY PHONE,Primary isCell,Primary allowText,SECONDARY PHONE,Secondary isCell,Secondary allowText,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO CLIENT,MOBILITY ASSISTANCE,OTHER LIMITATIONS,CAR HEIGHT NEEDED,SERVICE ANIMAL,BREED,SIZE,OXYGEN,ALLERGIES,PICK UP INSTRUCTIONS,COMMENTS,Date Enrolled ,CLIENT STATUS,temp date,LIVE ALONE,MONTH & YEAR OF BIRTH,M/F,HOW DID THEY HEAR ABOUT US?,Data1_ClientName,Data2,Data3
Dorothy,Wilson,56 Beech Hill Rd,,14620,Rochester,NY,house,,147-6677,,,715-3181,Y,,LindaBarrera,625-9557,daughter,cane,,low;med;high,N,,,N,,,,8/1/2025,Temporary Thru,3/20/2026,Y,1/1941,F,lifespan,Dorothy Wilson,,
Mary,Garner,52 Hornbeam Ln,,14625,Penfield,NY,house,mary_garner@gmail.com,302-4705,,,,,,JayGarner,670-318-4671,son,alum walker,,high,N,,,N,,,,4/2/2018,Active,,Y,6/1948,F,word of mouth,Mary Garner,,
Loretta,Jones,56 Saybrooke Dr,,14625,Penfield,NY,house,,148-8508,Y,,465-262-3794,,,HaroldJones,761-7364,son,cane,,low;med;high,N,,,N,,,,10/15/2024,Active,,Y,7/1944,F,JCC,Loretta Jones,,
Sandra,Powell,78 Burt La Fountain Rd,,14623,Rochester,NY,house,sandra_powell@rochester.rr.com,524-435-9518,,,,,,DavidPowell,711-377-7115,husband, ,,low;med;high,N,,,N,,,,1/18/2017,Active,,Y,5/1944,F,,Sandra Powell,,
Linda,Reyes,2360 E Squire Dr,Apt. 10,14610,Rochester,NY,apt,linda_reyes@gmail.com,948-7823,Y,Y,,,,MarleneReyes,371-5839,daughter,cane,,med;high,Y,lab,70,N,,,has car; doesn't drive long distances,10/15/2019,Active,,Y,12/1940,F,Linden Knoll Staff,Linda Reyes,,
Anita,Hall,153 French Creek Dr,Apt. 7,14620,Rochester,NY,apt,anita_hall@yahoo.com,322-1749,,,,,,DianeHall,409-3969,daughter, ,no voicemail,low;med;high,N,,,N,,,has car; doesn't drive in winter,12/15/2024,Active,,N,12/1948,F,,Anita Hall,,
Esther,Morgan,197 French Meadows Ln,,14618,Rochester,NY,mobile home,esther_morgan@outlook.com,190-4024,,,,,,WalterMorgan,205-5688,son, ,phone before 5,low;med;high,N,,,N,,,emergency contact books appts,9/12/2018,Active,,Y,5/1947,F,word of mouth,Esther Morgan,,
Nancy,Martin,128 Berman St,,14620,Rochester,NY,house,nancy_martin@outlook.com,199-3557,,,,,,DaleMartin,653-5658,son,alum walker,,high,N,,,N,,,,1/27/2019,Active,,Y,11/1941,F,,Nancy Martin,,
Sandra,Eaton,102 Brentwood Dr,,14625,Penfield,NY,townhouse,,808-7266,,,,,,EdwardEaton,663-7418,son, ,,low;med;high,N,,,N,,,,3/1/2017,Active,,Y,2/1941,F,word of mouth,Sandra Eaton,,
Joanne,Hernández,51 Hornbeam Ln,,14625,Penfield,NY,house,joanne_hernández@outlook.com,316-1726,,,,,,SandraRoss,230-8117,daughter,alum walker,no voicemail,low,N,,,N,,,has car; doesn't drive long distances,4/23/2025,Temporary Thru,8/13/2025,Y,2/1950,F,Penfield Rec,Joanne Hernández,,
Jo,Williams,74 Mountain Pond Rd,Apt. 46,14620,Rochester,NY,apt,,242-821-2025,,,,,,ArthurWilliams,442-8865,lifespan coordinator, ,difficulty hearing,low;med;high,N,,,N,,,,1/4/2017,Active,,Y,2/1948,F,Penfield Rec,Jo Williams,,
Kay,Green,404 Edgevale Rd,,14620,Rochester,NY,house,,437-4384,,,,,,JohnGreen,756-3718,lifespan coordinator,alum walker,,low;med;high,Y,poodle,40,N,,,,11/28/2021,Active,,Y,6/1945,F,Linden Knoll Staff,Kay Green,,
Barbara,Stevenson,360 Burt La Fountain Rd,,14610,Rochester,NY,townhouse,barbara_stevenson@outlook.com,208-6140,Y,Y,,,,JeromeStevenson,321-193-1521,lifespan coordinator, ,,low;med;high,N,,,N,,,,6/27/2018,Active,,N,8/1946,F,word of mouth,Barbara Stevenson,,
Barbara,Li,62 Hunters Ln,,14610,Rochester,NY,condo,barbara_li@gmail.com,969-453-9137,Y,Y,906-6547,,,LeonardLi,215-3404,son,cane,difficulty hearing,low;med;high,N,,,N,,,,7/6/2020,Active,,Y,3/1945,F,lifespan,Barbara Li,,
Larry,Andrews,108 Village Wood Ln,Apt. 79,14625,Penfield,NY,apt,larry_andrews@outlook.com,731-349-7989,Y,Y,,,,CarolJones,738-9487,daughter,alum walker,poor vision,low;med;high,N,,,N,,,,9/2/2021,Active,,N,10/1937,M,word of mouth,Larry Andrews,,
Ellen,Cruz,55 Belvue Ct,,14625,Penfield,NY,house,ellen_cruz@gmail.com,424-727-8868,,,,,,JosephCruz,967-855-2571,son, ,,low;med;high,N,,,N,cats;dogs,,,9/26/2019,Active,,N,6/1944,F,,Ellen Cruz,,
Diane,Phillips,70 N Brook Rd,,14623,Rochester,NY,house,,121-651-9088,Y,Y,,,,LynneJones,177-2452,daughter, ,phone before 5,high,N,,,N,,,,1/9/2017,Active,,Y,8/1941,F,JCC,Diane Phillips,,
Rosemary,Peterson,475 Chateau Square,Apt. 20,14623,Rochester,NY,apt,,626-5200,Y,Y,,,,KathleenBaker,279-4217,friend, ,,low;med;high,N,,,Y,cats,,,10/25/2017,Active,,Y,2/1951,F,Penfield Rec,Rosemary Peterson,,
Diana,Carlson,163 Avonmore Way,,14625,Penfield,NY,house,,246-2801,,,,,,MichaelCarlson,947-3056,son,alum walker,,med;high,N,,,Y,,"park at entrance, lights flashing",has car; doesn't drive long distances,8/29/2023,Active,,N,8/1944,F,BriPen Driver,Diana Carlson,,
Karen,Wang,505 Meadowlark Dr,,14625,Penfield,NY,house,karen_wang@outlook.com,235-5036,Y,,,,,HarveyWang,210-172-5062,son,alum walker,,low;med;high,N,,,N,cats,,,5/3/2024,Active,,Y,7/1939,F,Linden Knoll Staff,Karen Wang,,
Brenda,Gordon,286 Highledge Dr,,14625,Penfield,NY,house,brenda_gordon@yahoo.com,607-6691,Y,Y,,,,MinnieDay,536-2298,wife,heavy walker w. seat,,low;med;high,N,,,N,,,,5/1/2020,Active,,Y,10/1948,F,word of mouth,Brenda Gordon,,
Janice,Palmer,49 Brandon Woods Dr,,14610,Rochester,NY,house,,830-7087,Y,,,,,StevenPalmer,585-3358,lifespan coordinator,heavy walker w. seat,,med;high,N,,,N,,,,9/11/2021,Active,,Y,2/1950,F,,Janice Palmer,,
Martha,Bailey,60 N Brook Rd,,14623,Rochester,NY,house,,101-9428,Y,Y,,,,SandraKelley,451-5628,friend, ,,high,N,,,N,,,emergency contact books appts,10/31/2018,Active,,Y,3/1938,F,lifespan,Martha Bailey,,
Dorothy,King,968 Mainview Dr,,14625,Penfield,NY,house,dorothy_king@yahoo.com,424-4804,,,,,,DonaldKing,645-2994,lifespan coordinator, ,difficulty hearing;poor vision,high,N,,,N,,,,2/12/2020,Active,,Y,10/1941,F,,Dorothy King,,
Steven,Joseph,83 Jackson Road Exn,Apt. 51,14625,Penfield,NY,apt,steven_joseph@rochester.rr.com,404-8308,Y,,762-9615,,,WilliamJoseph,570-866-1522,son,alum walker,,high,N,,,N,,,over 90,9/18/2020,Active,,Y,5/1934,M,BriPen Driver,Steven Joseph,,
Karen,Sanders,68 French Meadows Ln,,14610,Rochester,NY,house,karen_sanders@rochester.rr.com,764-629-4415,,,,,,SandraButler,881-537-5762,wife,cane,,low;med;high,N,,,N,smoke,,,1/27/2025,Active,,Y,12/1942,F,Penfield Rec,Karen Sanders,,
Joan,Foley,134 Dale Rd E,,14620,Rochester,NY,house,,860-2802,Y,Y,,,,JaniceLowery,640-434-6812,daughter, ,poor vision,low;med;high,N,,,N,,,,2/1/2022,Active,,N,12/1939,F,Penfield Rec,Joan Foley,,
Phyllis,Brown,149 Rock Hill Rd,Apt. 3,14618,Rochester,NY,apt,,120-744-6013,,,,,,PatriciaPrice,659-3836,daughter,alum walker,,low;med;high,N,,,N,,,,10/24/2018,Inactive,,Y,11/1941,F,lifespan,Phyllis Brown,,
Loretta,Ayala,561 Timber Glen Trail,,14625,Penfield,NY,house,,663-5041,Y,Y,,,,ShirleyThompson,298-907-9113,daughter,heavy walker,,low;med;high,N,,,N,,,has car; doesn't drive in winter,1/10/2017,Active,,Y,10/1942,F,Linden Knoll Staff,Loretta Ayala,,
Lillie,McKay,139 Berman St,,14620,Rochester,NY,house,lillie_mckay@outlook.com,454-3797,,,,,,ThomasMcKay,243-921-8458,lifespan coordinator,heavy walker w. seat,,med,N,,,N,,,,8/8/2021,Active,,Y,5/1947,F,Brochure,Lillie McKay,,
Lee,Ramírez,305 Elmwood Terrace,,14610,Rochester,NY,house,,327-9095,Y,,,,,RoyRamírez,571-7714,son, ,difficulty hearing;poor vision,high,N,,,Y,dogs,,prefers front seat,3/21/2025,Active,,Y,7/1945,M,Brochure,Lee Ramírez,,
Jill,Stewart,65 Cadence Ct,,14625,Penfield,NY,house,jill_stewart@outlook.com,185-3136,,,,,,RolandStewart,933-9718,son,heavy walker w. seat,,med;high,N,,,N,,,emergency contact books appts,4/17/2023,Active,,Y,1/1943,F,word of mouth,Jill Stewart,,
Joyce,Baker,122 Pine Brook Cir,Apt. 54,14625,Penfield,NY,apt,joyce_baker@gmail.com,699-546-3747,Y,Y,108-1833,,,GaryBaker,520-3417,niece,cane,no voicemail,med;high,N,,,Y,,,over 90,8/31/2019,Inactive,,Y,8/1932,F,,Joyce Baker,,
Sylvia,Sheppard,352 Valley Crescent,,14610,Rochester,NY,house,sylvia_sheppard@rochester.rr.com,184-775-4110,Y,Y,,,,GarySheppard,510-8423,son, ,difficulty hearing,low;med;high,N,,,N,,"park at entrance, lights flashing",,10/18/2017,Active,,N,10/1952,F,Linden Knoll Staff,Sylvia Sheppard,,
Lynne,Mejía,51 Qramp,,14610,Rochester,NY,house,,928-6318,Y,Y,,,,DianaNixon,313-2343,daughter, ,poor vision,low;med;high,N,,,N,,,emergency contact books appts,2/14/2017,Active,,Y,4/1950,F,JCC,Lynne Mejía,,
William,Murillo,52 Mountain Pond Rd,,14618,Rochester,NY,house,william_murillo@rochester.rr.com,691-2291,,,,,,CatherineHansen,162-6972,daughter,heavy walker w. seat,,med;high,N,,,N,cats,,Lifespan books appts,6/6/2021,Active,,N,6/1944,M,word of mouth,William Murillo,,
Robert,McIntyre,140 Locust Hill Apartment,Apt. 34,14610,Rochester,NY,apt,robert_mcintyre@outlook.com,807-705-6439,,,,,,DianaPadilla,983-713-3242,wife, ,,low;med;high,N,,,N,,,,4/10/2025,Temporary Thru,11/27/2025,N,10/1949,M,word of mouth,Robert McIntyre,,
Betty,Rosales,66 Renwick Run,Apt. 95,14625,Penfield,NY,apt,,793-7453,,,,,,BarbaraRosales,452-1261,daughter, ,,med;high,N,,,N,cats,,,12/18/2017,Active,,Y,8/1944,F,Brochure,Betty Rosales,,
Judith,Moore,297 Knoll Top Dr,,14618,Rochester,NY,house,judith_moore@gmail.com,347-6136,,,,,,FrankMoore,321-890-7239,lifespan coordinator,cane,,low;med;high,N,,,N,,,,9/14/2021,Inactive,,Y,4/1942,F,,Judith Moore,,
Juanita,Wilson,60 Peak Hill Dr,Apt. 89,14625,Penfield,NY,apt,juanita_wilson@rochester.rr.com,297-4045,Y,,,,,JamesWilson,982-4929,son,alum walker,,low;med;high,N,,,N,,,,9/4/2017,Active,,Y,3/1938,F,Brochure,Juanita Wilson,,
Brenda,Santiago,69 Columbus Crossing,,14625,Penfield,NY,house,brenda_santiago@yahoo.com,861-7132,,,825-2586,Y,Y,GloriaWilson,725-6267,daughter, ,,low;med;high,N,,,N,,,,7/1/2021,Active,,Y,4/1949,F,,Brenda Santiago,,
Clara,Parker,140 W Squire Dr,Apt. 16,14623,Rochester,NY,apt,,127-2536,Y,Y,,,,WarrenParker,546-9163,lifespan coordinator,heavy walker w. seat,,low;med;high,N,,,N,,,,8/4/2024,Active,,Y,1/1944,F,,Clara Parker,,
Carolyn,Livingston,440 Summit Cir Dr,Apt. 55,14618,Rochester,NY,apt,carolyn_livingston@rochester.rr.com,658-6041,Y,Y,,,,FrancisLivingston,168-225-1741,son,alum walker,,low;med;high,N,,,N,,,emergency contact books appts,2/22/2024,Active,,Y,3/1949,F,Penfield Rec,Carolyn Livingston,,
Jack,Mendoza,385 Summer Glen Dr,,14625,Penfield,NY,house,,572-6747,,,,,,AndreaLuna,147-3839,daughter,cane,difficulty hearing,low;med;high,N,,,N,,,,7/6/2023,Active,,N,10/1951,M,Brighton Rec,Jack Mendoza,,
Ellen,Ruiz,212 Park Cir,Apt. 76,14610,Rochester,NY,apt,ellen_ruiz@rochester.rr.com,365-9096,Y,Y,,,,NancyAnderson,141-7101,daughter, ,,med;high,N,,,N,,,,11/4/2023,Active,,N,11/1947,F,Brighton Rec,Ellen Ruiz,,
Sally,Daniel,111 Maple Hill Farm Rd,,14625,Penfield,NY,house,sally_daniel@outlook.com,717-4221,Y,Y,,,,DennisDaniel,691-3827,nephew,alum walker,,med;high,N,,,N,,,has car; doesn't drive in winter,6/13/2022,Active,,Y,6/1951,F,,Sally Daniel,,
Larry,Hernández,445 Cobblestone Crossing,Apt. 82,14625,Penfield,NY,apt,larry_hernández@outlook.com,493-461-5040,,,672-548-4889,,,WilmaMartin,832-187-3538,friend, ,,high,N,,,N,cats,,,6/12/2019,Active,,Y,12/1939,M,Penfield Rec,Larry Hernández,,
Nancy,Turner,66 Abbotswood Crescent,,14625,Penfield,NY,house,nancy_turner@rochester.rr.com,282-1631,Y,Y,,,,RogerTurner,407-8823,sister, ,difficulty hearing,low;med;high,N,,,N,,,prefers front seat,10/26/2022,Active,,Y,1/1947,F,word of mouth,Nancy Turner,,
Philip,Gallegos,250 Westfield Cmns,,14625,Penfield,NY,townhouse,,121-992-7407,Y,Y,,,,ErnestGallegos,718-5939,son,alum walker,,low;med;high,N,,,N,,,,2/14/2022,Active,,N,6/1936,M,Linden Knoll Staff,Philip Gallegos,,
Sandra,Myers,80 Spring Side Ln,Apt. 42,14625,Penfield,NY,apt,,674-9077,,,,,,JohnnyMyers,140-5048,son,alum walker,,high,N,,,Y,,,Lifespan books appts,5/14/2024,Active,,Y,7/1939,F,,Sandra Myers,,
Cynthia,Dixon,58 E Squire Dr,Apt. 5,14623,Rochester,NY,apt,,237-553-2506,Y,,,,,GlenDixon,598-202-6211,son, ,,low;med;high,N,,,N,,,has car; doesn't drive in winter,3/4/2018,Active,,N,10/1950,F,JCC,Cynthia Dixon,,
Edna,Howell,61 Landon Pkwy,,14623,Rochester,NY,mobile home,,469-7460,,,,,,RalphHowell,113-637-2478,son,alum walker,,med;high,N,,,N,,,,4/23/2024,Active,,Y,4/1942,F,,Edna Howell,,
Larry,Lloyd,173 Pinnacle Hill Rd,,14623,Rochester,NY,house,larry_lloyd@gmail.com,575-7338,,,,,,JerryLloyd,512-849-3247,husband,alum walker,,med;high,N,,,N,,,prefers front seat,12/1/2021,Active,,Y,10/1939,M,word of mouth,Larry Lloyd,,
Sandra,Smith,51 Mckenna Trail,,14625,Penfield,NY,house,sandra_smith@yahoo.com,746-479-8144,Y,Y,,,,BarbaraSmith,131-698-5132,daughter, ,difficulty hearing,low;med;high,Y,mixed,50,N,,,,12/3/2024,Active,,Y,12/1949,F,Brighton Rec,Sandra Smith,,
Tom,Moreno,133 Rockhurst Dr,,14625,Penfield,NY,house,tom_moreno@yahoo.com,127-6062,,,,,,DennisMoreno,678-7325,son,alum walker,,low;med;high,N,,,N,,,,11/7/2017,Active,,Y,6/1945,M,word of mouth,Tom Moreno,,
Mary,Lee,49 Clintwood Ct,Apt. 8,14620,Rochester,NY,apt,mary_lee@rochester.rr.com,879-9783,Y,Y,,,,GailCarter,944-874-9105,daughter,alum walker,difficulty hearing,high,N,,,N,,,Lifespan books appts,6/27/2025,Active,,Y,8/1954,F,word of mouth,Mary Lee,,
Paula,Jackson,350 Country Ln,Apt. 15,14625,Penfield,NY,apt,paula_jackson@rochester.rr.com,746-4880,Y,Y,,,,AnnJackson,623-175-7611,daughter, ,difficulty hearing,low;med;high,N,,,N,,,,5/6/2020,Active,,Y,11/1944,F,lifespan,Paula Jackson,,
Ronnie,Torres,109 Beaver Ln,,14610,Rochester,NY,house,,683-1381,,,708-3561,Y,,RaymondTorres,931-7729,son,heavy walker w. seat,,low;med;high,N,,,N,,,,8/7/2025,Temporary Thru,10/9/2025,Y,12/1942,M,word of mouth,Ronnie Torres,,
Jimmie,Williams,67 Valley Crescent,,14620,Rochester,NY,house,jimmie_williams@yahoo.com,776-5484,Y,,474-4283,,,BobbyWilliams,431-3943,son, ,,med,N,,,N,,Park outside garage,,10/17/2017,Active,,Y,4/1946,M,Linden Knoll Staff,Jimmie Williams,,
Betty,Black,186 Greystone Ln,,14618,Rochester,NY,house,,267-901-9891,,,,,,EugeneBlack,582-2602,son,cane,,low;med;high,N,,,N,,Park outside garage,,7/19/2017,Active,,Y,1/1952,F,JCC,Betty Black,,
Barbara,Smith,100 Knollbrook Rd,,14610,Rochester,NY,house,,356-3472,Y,,876-9759,,,JosephineDuarte,824-6762,daughter,alum walker,,low;med;high,N,,,N,,,emergency contact books appts,7/2/2018,Active,,Y,7/1938,F,Penfield Rec,Barbara Smith,,
Phyllis,Miller,151 Maybrooke Rd,,14610,Rochester,NY,house,,480-8699,Y,Y,,,,JohnnyMiller,393-276-1653,lifespan coordinator, ,,high,N,,,N,smoke;cats,,,9/19/2022,Active,,Y,2/1947,F,Linden Knoll Staff,Phyllis Miller,,
Diane,Castro,463 Fairhaven Rd,,14620,Rochester,NY,house,diane_castro@yahoo.com,843-9553,,,235-8072,,,JoanSaunders,525-4157,wife, ,,high,N,,,N,,,,8/3/2021,Active,,Y,6/1941,F,Brochure,Diane Castro,,
Kenneth,Zhang,65 Maple Hill Farm Rd,Apt. 98,14625,Penfield,NY,apt,kenneth_zhang@yahoo.com,193-6647,Y,,,,,DonaldZhang,592-911-4544,sister,alum walker,,low;med;high,N,,,N,cats,"park at entrance, lights flashing",,5/11/2025,Temporary Thru,10/26/2025,Y,5/1939,M,Brighton Rec,Kenneth Zhang,,
Gloria,Villa,75 Sanders Farm Dr,,14625,Penfield,NY,townhouse,,956-5840,Y,,540-2260,,,RichardVilla,253-4954,son,alum walker,,low;med;high,N,,,N,,"park at entrance, lights flashing",over 90,5/3/2023,Active,,Y,6/1934,F,Brighton Rec,Gloria Villa,,
Darlene,Cantú,49 Maybrooke Rd,Apt. 28,14620,Rochester,NY,apt,,773-7384,,,363-468-9975,,,DanielCantú,536-5163,son, ,no voicemail,med,N,,,N,,,prefers front seat,9/20/2017,Inactive,,Y,3/1947,F,,Darlene Cantú,,
Helen,Williams,262 Songbird Ln,,14618,Rochester,NY,mobile home,helen_williams@outlook.com,662-7874,,,,,,CalvinWilliams,957-6931,son,cane,,low;med;high,N,,,N,,,,5/20/2019,Active,,Y,11/1940,F,word of mouth,Helen Williams,,
Linda,Garcia,75 Harway Dr,Apt. 55,14625,Penfield,NY,apt,linda_garcia@gmail.com,623-610-9249,,,,,,TerryMills,307-1716,daughter,alum walker,,med;high,N,,,N,,,has car; doesn't drive in winter,7/4/2022,Active,,Y,7/1945,F,Brochure,Linda Garcia,,
Anna,Flores,55 Glendonwood Dr,,14625,Penfield,NY,mobile home,,636-2219,,,,,,BeverlyCervantes,602-687-7295,friend, ,,med;high,N,,,N,,,prefers front seat,10/19/2021,Active,,Y,1/1947,F,Penfield Rec,Anna Flores,,
Norma,Taylor,59 Washington Dr,,14610,Rochester,NY,house,norma_taylor@yahoo.com,284-9416,Y,,,,,EdithStone,968-8768,wife,heavy walker w. seat,,low;med;high,N,,,N,,,,4/5/2024,Active,,Y,9/1942,F,Brochure,Norma Taylor,,
Walter,Rodríguez,121 Penfield Center Rd,Apt. 99,14625,Penfield,NY,apt,,899-3833,,,273-4917,,,PatriciaJones,745-1056,daughter, ,difficulty hearing,med;high,N,,,N,,phone when you arrive,,10/2/2024,Inactive,,Y,7/1948,M,word of mouth,Walter Rodríguez,,
Joan,Cruz,250 Fairhaven Rd,,14618,Rochester,NY,house,joan_cruz@rochester.rr.com,263-1970,,,,,,MaryWoods,658-8957,daughter,alum walker,phone before 5,med,N,,,Y,,,emergency contact books appts,12/31/2022,Active,,Y,4/1949,F,,Joan Cruz,,
Judith,Russell,62 Lac De Ville Blvd,Apt. 100,14620,Rochester,NY,apt,,264-1270,Y,Y,,,,HowardRussell,966-5504,sister,heavy walker w. seat,difficulty hearing,low,N,,,N,,,has car; doesn't drive long distances,8/20/2020,Active,,N,9/1945,F,,Judith Russell,,
Betty,Brown,130 Rainbow Rd,,14610,Rochester,NY,house,betty_brown@rochester.rr.com,419-5761,,,,,,MarthaMcGee,657-529-9620,daughter, ,,med;high,Y,lab,70,N,,,Lifespan books appts,7/31/2022,Active,,Y,1/1945,F,Penfield Rec,Betty Brown,,
Gerald,Monroe,3731 Golden Locust Cir,Apt. 65,14625,Penfield,NY,apt,,638-8274,Y,Y,,,,LindaDavis,107-597-7690,daughter,large alum walker,,high,N,,,N,,,has car; doesn't drive long distances,11/13/2021,Active,,Y,2/1949,M,BriPen Driver,Gerald Monroe,,
William,Ortega,49 Clintwood Ct,Apt. 96,14610,Rochester,NY,apt,,292-225-5976,,,,,,RebeccaGonzalez,171-260-6949,friend, ,,high,N,,,N,,,prefers front seat,2/2/2024,Active,,N,8/1944,M,,William Ortega,,
Sharon,Hernández,59 Easy St,Apt. 77,14623,Rochester,NY,apt,sharon_hernández@yahoo.com,746-846-4402,,,,,,MatthewHernández,271-158-2360,nephew,alum walker,difficulty hearing,low;med;high,N,,,N,,,,9/16/2018,Active,,N,3/1950,F,JCC,Sharon Hernández,,
