VOLUNTEER POSITION,FIRST NAME,LAST NAME,User ID,PASSWORD,MONTH & YEAR OF BIRTH,STREET ADDRESS,ADDRESS 2,ZIP,CITY,STATE,VOLUNTEERING STATUS,EMAIL ADDRESS,PRIMARY PHONE,primary isCell,primary can text,SECONDARY PHONE,secondary isCell,secondary canText,CONTACT TYPE PREFERENCE,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO VOLUNTEER,COMMENTS,DRIVER AVAILABILITY BY DAY & TIME,TYPE OF VEHICLE,Allergens in Car,COLOR,SEAT HEIGHT FROM GROUND,MAX RIDES/WEEK,TOWN PREFERENCE FOR CLIENT RESIDENCE,DESTINATION LIMITATIONS,CLIENT PREFERENCE FOR DRIVERS,MILEAGE REIMBURSEMENT,HOW DID THEY HEAR ABOUT US?,WHEN TRAINED BY LIFESPAN,WHEN ORIENTED TO POSITION,DATE BEGAN VOLUNTEERING,Data1_fromDate,Data2_toDate,Data3
driver,Edward,Vargas,EVargas,jjv7l_ry.9zyf,12/1972,51 Whitestone Ln N,,14623,Rochester,NY,Active,edward_vargas@outlook.com,802-755-8146,,,,,,text,Cynthia Fuller,241-3589,friend,,F11;F13;M11;M12;T11;Th12;W11,Truck,smoke,black,39,1,,,,N,Linden Knoll Staff,9/29/2023,2/18/2024,8/22/2024,10/27/2025,2/15/2026,
driver,Paula,Walker,PWalker,#vtq0delxdcp,3/1976,92 Johnsarbor Dr E,,14623,Rochester,NY,Active,paula_walker@outlook.com,696-208-5212,,,,,,email,Alan Brown,463-7146,son,,F09;F12;M13;M16;T11;T13;T14;T16;Th09;Th11;Th14;W09;W15,SUV,,black,25,1,,,,N,,2/5/2024,2/8/2024,12/22/2024,10/3/2025,2/21/2026,
driver,Theodore,Wilson,TWilson,edx0524yuc8sr,8/1967,75 White Pine Rd,,14610,Rochester,NY,on Leave until 09/25/2025,theodore_wilson@yahoo.com,310-1039,,,,,,email,Keith Terry,311-5464,son,,F10;F13;F15;M12;T09;T12;T15;Th10;Th12;Th13;Th14;W16,sedan,,black,24,1,,,,N,,12/9/2024,6/20/2025,6/21/2025,11/24/2025,3/18/2026,
driver,Larry,Perry,LPerry396,_y312huyv,9/1968,250 Datewood Dr,,14625,Penfield,NY,Active,larry_perry@gmail.com,128-2909,,,,,,email,Jacqueline White,367-337-9347,daughter,,M12;T13;T15;Th15;W09,sedan,,black,21,1,,,,N,Linden Knoll Staff,1/28/2025,2/16/2025,4/22/2025,10/14/2025,3/6/2026,
driver,James,Johnson,JJohnson,.v0mcalh335gn,6/1972,102 Northern Dr,,14618,Rochester,NY,Active,james_johnson@yahoo.com,743-5878,,,780-3272,Y,,email,Patrick Thompson,176-416-1032,son,,F09;F13;F14;F15;M09;M10;M16;T11;T14;Th09;Th10;Th11;Th14;Th16;W09;W12;W14;W16,sedan,,green,20,4,,,,N,Penfield Rec,12/21/2024,4/15/2025,8/6/2025,10/16/2025,11/17/2025,
driver,Larry,Douglas,LDouglas,y#qwp48wh73,9/1974,381 Sawgrass Dr,,14618,Rochester,NY,Active,larry_douglas@outlook.com,224-4316,,,,,,email,William Méndez,377-5063,sister,,F09;F10;F12;F13;F14;F15;M09;M10;M11;M13;M14;M15;M16;T09;T11;T13;T15;Th11;Th12;Th13;Th14;Th15;W11;W12;W14;W16,sedan,,gray,21,2,,,,N,word of mouth,9/21/2024,10/16/2024,4/19/2025,7/25/2025,1/12/2026,
driver,Michael,Long,MLong,hry#a6pkiz,4/1970,139 Wardner Rd,,14620,Rochester,NY,Away from 11/11/2025 until 04/02/2026,michael_long@rochester.rr.com,106-8411,,,,,,email,Barbara Williams,863-4428,daughter,,F11;F14;F15;M10;M11;M13;T12;Th10;Th14;W10,SUV,,black,26,4,,,,Y,lifespan,12/27/2024,7/26/2025,8/14/2025,11/11/2025,4/2/2026,
driver,James,Baldwin,JBaldwin600,ly7#.42a,3/1962,62 Rue De Ville,,14620,Rochester,NY,Active,james_baldwin@rochester.rr.com,313-1203,,,,,,email,Alvin Jones,708-514-2376,son,,F15;T15;Th10;Th11;Th15,SUV,,gray,25,4,,,,N,Linden Knoll Staff,2/12/2023,6/26/2024,10/5/2024,9/24/2025,3/10/2026,
driver,Douglas,Bates,DBates,.d7odoqj50me2j,7/1966,91 Columbus Way,,14618,Rochester,NY,Active,douglas_bates@gmail.com,955-2140,,,,,,email,Mary Hoffman,503-4337,wife,,F09;F13;M12;M13;T09;T10;T12;T13;T16;Th13;Th15;Th16;W10,SUV,,gray,23,3,,,,N,,8/22/2023,8/12/2025,9/5/2025,10/1/2025,3/23/2026,
driver,Mary,Hughes,MHughes,ke1y5vsyg,3/1975,72 Columbus Way,Apt. 67,14623,Rochester,NY,Active,mary_hughes@outlook.com,521-7645,Y,Y,,,,text,Jean Sullivan,365-5326,daughter,This is a comment,F09;F10;F12;F13;F14;M09;M10;M12;M14;M16;T11;T15;Th09;Th14;Th15;Th16;W09;W10;W11;W13;W14,sedan,cats,black,23,1,,,,N,BriPen Driver,2/1/2024,10/22/2024,3/15/2025,11/15/2025,4/26/2026,
